item_id,covariate_1,covariate_2
0,0.30471707975443135,0.8793979748628286
1,-1.0399841062404955,0.7777919354289483
2,0.7504511958064572,0.06603069756121605
3,0.9405647163912139,1.1272412069680329
4,-1.9510351886538364,0.4675093422520456
5,-1.302179506862318,-0.8592924628832382
6,0.12784040316728537,0.36875078408249884
7,-0.3162425923435822,-0.9588826008289989
8,-0.016801157504288795,0.8784503013072725
9,-0.85304392757358,-0.049925910986252896

assessor_id,name
1,Assessor_1
2,Assessor_2
3,Assessor_3
4,Assessor_4
5,Assessor_5

selective_set_id,assessor_id,items
1,1,7;4;8
2,2,0;3;1;2;9;7;4
3,3,2;4;6;1;0
4,4,9;8;1;5;3;7;4
5,5,9;8;4;3;5;7;2
